 ,Area,Mean,StdDev,Mode,Min,Max
1,3228,72,26,57,25,166
2,3158,69,27,50,20,178
3,2621,50,22,31,17,142
4,2446,60,21,52,22,133
5,2671,58,22,55,20,155
6,2590,60,21,66,17,161
7,2737,46,20,28,20,137
8,2815,67,11,56,46,111
9,2228,44,15,31,21,110
10,2202,60,25,38,17,162
11,2661,66,24,51,18,136
12,2918,98,34,66,34,175
13,2962,55,15,40,32,112
14,2941,77,24,70,21,166
15,3019,80,9,72,57,112
16,1285,89,12,98,58,110
17,2056,55,12,44,31,111
18,3097,51,24,41,13,145
19,2901,76,26,52,24,164
20,2617,40,22,25,11,144
21,2655,82,29,61,30,189
22,4023,64,20,41,26,172
23,571,37,20,21,17,108
24,3228,72,26,57,25,166
25,3158,69,27,50,20,178
26,2621,50,22,31,17,142
27,2446,60,21,52,22,133
28,2671,58,22,55,20,155
29,2590,60,21,66,17,161
30,2737,46,20,28,20,137
31,2815,67,11,56,46,111
32,2228,44,15,31,21,110
33,2202,60,25,38,17,162
34,2661,66,24,51,18,136
35,2918,98,34,66,34,175
36,2962,55,15,40,32,112
37,2941,77,24,70,21,166
38,3019,80,9,72,57,112
39,1285,89,12,98,58,110
40,2056,55,12,44,31,111
41,3097,51,24,41,13,145
42,2901,76,26,52,24,164
43,2617,40,22,25,11,144
44,2655,82,29,61,30,189
45,4023,64,20,41,26,172
46,571,37,20,21,17,108
47,3228,72,26,57,25,166
48,3158,69,27,50,20,178
49,2621,50,22,31,17,142
50,2446,60,21,52,22,133
51,1127,58,16,55,26,155
52,2590,60,21,66,17,161
53,1500,58,25,39,20,132
54,2787,53,20,48,17,156
55,2737,46,20,28,20,137
56,2524,53,25,29,11,179
57,2815,67,11,56,46,111
58,2435,54,23,54,13,173
59,3206,65,23,47,21,145
60,2228,44,15,31,21,110
61,3367,68,26,55,17,162
62,2202,60,25,38,17,162
63,2661,66,24,51,18,136
64,2918,98,34,66,34,175
65,2962,55,15,40,32,112
66,2941,77,24,70,21,166
67,3019,80,9,72,57,112
68,1285,89,12,98,58,110
69,2056,55,12,44,31,111
70,3097,51,24,41,13,145
71,2901,76,26,52,24,164
72,2617,40,22,25,11,144
73,2655,82,29,61,30,189
74,2094,66,15,61,27,133
75,1895,61,23,41,26,165
76,571,37,20,21,17,108
